area_type,availability,location,society,total_sqft,bath,balcony,price,house_size,house_type
Super built-up  Area,Ready To Move,Kundalahalli,dieldli,735.0,2,1,57.99,2,0
Super built-up  Area,Ready To Move,Koramangala,independent,1750.0,3,2,130.0,3,0
Super built-up  Area,Ready To Move,Marathahalli,puilami,1215.0,2,1,67.0,2,0
Super built-up  Area,Ready To Move,Vishwapriya Layout,prodsth,820.0,2,1,30.0,2,0
Super built-up  Area,20-Dec,Banashankari Stage VI,brens7 ,1177.5,2,0,59.94,2,0
Super built-up  Area,Ready To Move,Battarahalli,paontwa,1779.0,3,2,89.61,3,0
Built-up  Area,Ready To Move,HMT Layout,hmrwayo,1105.0,2,2,58.0,2,0
Super built-up  Area,Ready To Move,Whitefield,ukkente,1650.0,3,2,60.0,3,0
Super built-up  Area,Ready To Move,Jalahalli,tahtsla,1694.0,2,2,150.0,2,0
Super built-up  Area,Ready To Move,Hosakerehalli,taonte ,2376.0,3,1,203.0,3,0
Super built-up  Area,Ready To Move,Cox Town,independent,1975.0,3,3,150.0,3,0
Super built-up  Area,Ready To Move,Kammasandra,icingpy,674.0,2,1,33.0,2,0
Super built-up  Area,Ready To Move,Kaggadasapura,slireap,1185.0,2,1,41.0,2,0
Super built-up  Area,Ready To Move, Thanisandra,bhmesy ,445.0,1,0,28.0,1,2
Super built-up  Area,Ready To Move,HSR Layout,independent,1475.0,3,2,75.0,3,0
Super built-up  Area,Ready To Move,Gottigere,sklls c,1618.0,3,3,82.5,3,0
Super built-up  Area,Ready To Move,Koramangala,vaanda ,1120.0,2,0,65.0,2,0
Super built-up  Area,Ready To Move,Marathahalli,sutte c,2181.0,3,2,152.0,4,0
Plot  Area,Ready To Move,Vidyaranyapura,independent,1200.0,4,0,90.0,4,1
Plot  Area,Ready To Move,Nagondanahalli,independent,600.0,4,3,65.0,6,1
Super built-up  Area,18-Oct,Bannerghatta Road,dsnjh s,1556.0,2,1,59.13,3,0
Super built-up  Area,19-Feb,Bannerghatta Road,hiatei ,1179.0,2,1,66.02,2,0
Super built-up  Area,Ready To Move,Thanisandra,bhmesy ,1296.0,2,2,83.0,2,0
Built-up  Area,Ready To Move,Kaggadasapura,vsomepi,1275.0,2,2,52.0,2,0
Super built-up  Area,Ready To Move,Kathriguppe,independent,1400.0,2,2,77.0,3,0
Super built-up  Area,Ready To Move,Gottigere,krryll ,1222.0,2,1,63.0,2,0
Super built-up  Area,Ready To Move,Electronic City,palleon,940.0,2,1,41.0,2,0
Super built-up  Area,Ready To Move,Thanisandra,menueno,1185.0,2,2,42.6,2,0
Super built-up  Area,Ready To Move,Tumkur Road,soite e,1779.0,3,2,112.0,3,0
Super built-up  Area,Ready To Move,Begur Road,dhalsh ,1615.0,3,2,59.76,3,0
Super built-up  Area,Ready To Move,Haralur Road,zostaa ,1056.0,2,1,61.0,2,0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,independent,1100.0,2,0,46.0,2,0
Built-up  Area,Ready To Move,Arekere,prdowth,920.0,2,1,40.0,2,0
Super built-up  Area,Ready To Move,ITI Layout,bmityre,1602.0,2,0,75.0,3,0
Built-up  Area,Ready To Move,Padmanabhanagar,independent,1176.0,2,0,62.0,2,0
Plot  Area,Ready To Move,HBR Layout,independent,675.0,3,1,59.0,4,1
Super built-up  Area,Ready To Move,Richmond Town,independent,1352.0,3,0,135.0,3,0
Built-up  Area,Ready To Move,Kasavanhalli,hmonymp,1717.0,3,3,99.0,3,0
Super built-up  Area,18-Jul,Bhoganhalli,rosha i,2119.0,4,3,111.0,4,0
Super built-up  Area,Ready To Move,Vittasandra,prlla c,1246.0,2,1,67.3,2,0
Super built-up  Area,17-Jul,Anandapura,viensrk,1141.0,2,1,42.79,2,0
Built-up  Area,Ready To Move,Hennur Road,independent,1157.0,2,1,84.0,2,0
Super built-up  Area,18-Aug,Chandapura,suvue s,1025.0,2,2,27.68,2,0
Built-up  Area,Ready To Move,Yelahanka New Town,khatsfl,650.0,1,2,33.0,1,0
Super built-up  Area,Ready To Move,Hebbal,prersis,1349.0,2,1,98.0,2,0
Super built-up  Area,Ready To Move,Narayanapura,veodsar,1566.0,3,1,83.3,3,0
Super built-up  Area,Ready To Move,Sahakara Nagar,osrdsor,2830.0,3,3,195.0,4,0
Built-up  Area,18-Dec,Electronic City,independent,1320.0,2,1,38.13,3,0
Super built-up  Area,18-Nov,manyata park,independent,1780.0,3,1,84.83,3,0
Super built-up  Area,Ready To Move,Varthur,hirio l,1091.0,2,1,34.9,2,0
Super built-up  Area,Ready To Move,Rachenahalli,leino c,3670.0,4,3,300.0,4,0
Built-up  Area,Ready To Move,7th Phase JP Nagar,independent,918.0,2,1,50.49,2,0
Super built-up  Area,20-Dec,Yeshwanthpur,detat h,1950.0,4,0,130.0,4,0
Super built-up  Area,Ready To Move,Panathur,independent,1695.0,3,1,90.0,3,0
Super built-up  Area,Ready To Move,Yelahanka,shana s,1705.0,3,2,95.0,3,0
Built-up  Area,Ready To Move,Kalyan nagar,disical,1375.0,3,2,75.0,3,0
Super built-up  Area,21-Oct,Kanakpura Road,prarepa,525.0,1,1,30.0,1,0
Built-up  Area,20-Dec,Whitefield,independent,1447.0,2,1,83.0,2,0
Super built-up  Area,Ready To Move,Thanisandra,slaceda,1114.0,2,1,39.0,2,0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,brsiaen,1450.0,2,1,100.0,3,0
Super built-up  Area,Ready To Move,Belathur,independent,460.0,1,0,15.0,2,0
Built-up  Area,Ready To Move,Vasanthapura,independent,1022.0,2,2,40.0,2,0
Built-up  Area,Ready To Move,Hebbal,ratlet ,1000.0,2,2,45.0,2,0
Super built-up  Area,18-Apr,Electronic City,prarkun,1128.0,2,1,68.75,2,0
Super built-up  Area,18-May,Kanakpura Road,wiowsri,1180.0,2,2,57.0,2,0
Built-up  Area,Ready To Move,TC Palaya,independent,1000.0,6,1,69.0,6,1
Plot  Area,Ready To Move,Nagarbhavi,independent,1200.0,2,1,150.0,2,1
Super built-up  Area,Ready To Move,Kanakpura Road,puandhi,1339.0,2,3,75.0,2,0
Super built-up  Area,Ready To Move,Yelachenahalli,independent,1400.0,2,3,55.0,3,0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,srncyre,1040.0,2,1,39.52,2,0
Super built-up  Area,Ready To Move,Kadugodi,independent,1198.0,2,2,58.0,2,0
Plot  Area,Ready To Move,Shirdi Sai Layout,independent,1200.0,3,0,95.0,4,1
Super built-up  Area,Ready To Move,Sarjapur  Road,klark l,1691.0,3,2,113.0,3,0
Super built-up  Area,Ready To Move,Bisuvanahalli,prityel,1075.0,3,2,36.0,3,0
Super built-up  Area,18-Jun,1st Block Jayanagar,independent,1630.0,3,2,194.0,3,0
Super built-up  Area,18-Jun,8th Phase JP Nagar,independent,1240.0,3,2,43.5,3,0
Super built-up  Area,22-Dec,Bannerghatta Road,prarepa,1122.5,2,0,58.94,2,0
Super built-up  Area,Ready To Move,Mallasandra,puestig,1665.0,3,2,86.58,3,0
Built-up  Area,Ready To Move,Marathahalli,bintsee,2489.0,3,0,94.0,3,0
Built-up  Area,Ready To Move,Brookefield,mapleer,1142.0,2,2,70.0,2,0
Super built-up  Area,Ready To Move,Kodbisanhalli,diacee ,1976.0,3,1,184.0,3,0
Super built-up  Area,Ready To Move,Kothannur,independent,1853.0,3,2,82.0,3,0
Super built-up  Area,Ready To Move,Kasturi Nagar,independent,1567.0,2,2,92.0,2,0
Super built-up  Area,Ready To Move,Talaghattapura,independent,1090.0,2,1,27.24,2,0
Plot  Area,Ready To Move,Raja Rajeshwari Nagar,independent,1200.0,4,2,125.0,6,1
Super built-up  Area,Ready To Move,Electronics City Phase 1,shitt s,1175.0,2,2,51.47,2,0
Built-up  Area,Ready To Move,Subramanyapura,dsagax ,1200.0,2,2,52.0,2,0
Built-up  Area,Ready To Move,Kodichikkanahalli,prs 2hi,995.0,2,1,41.0,2,0
Super built-up  Area,Ready To Move,Magadi Road,vrenty ,884.0,2,1,41.1,2,0
Plot  Area,Ready To Move,Vishwanatha Nagenahalli,independent,900.0,3,2,80.0,5,1
Built-up  Area,Ready To Move,Yeshwanthpur,ibityin,1170.0,2,2,57.0,2,0
Super built-up  Area,Ready To Move,KR Puram,lvniaar,1225.0,2,1,46.55,2,0
Super built-up  Area,18-Apr,Electronic City,prarkun,1342.0,2,1,73.3,2,0
Built-up  Area,19-Dec,Uttarahalli,independent,1345.0,2,1,67.0,2,0
Built-up  Area,Ready To Move,Kodigehaali,shyas s,1320.0,3,0,65.0,3,0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,grrvagr,1140.0,2,1,49.39,2,0
Super built-up  Area,Ready To Move,Battarahalli,sancy l,1300.0,2,1,50.0,2,0
Super built-up  Area,Ready To Move,Hosa Road,independent,1652.0,3,2,85.0,3,0
Super built-up  Area,Ready To Move,Thigalarapalya,prtanha,2072.0,4,2,142.0,3,0
Built-up  Area,Ready To Move,Arekere,independent,1740.0,2,0,95.0,3,0
Super built-up  Area,Ready To Move,Electronic City,gmown e,1360.0,2,1,71.0,3,0
Super built-up  Area,Ready To Move,Hosur Road,sueneu ,1145.0,2,2,60.0,3,0
Built-up  Area,Ready To Move,Uttarahalli,laihai ,1540.0,2,0,40.0,3,0
Super built-up  Area,Ready To Move,Sarjapur  Road,adeatlm,1278.0,2,2,95.0,2,0
Super built-up  Area,18-May,Electronic City Phase II,snbay g,630.0,1,1,40.0,1,0
Super built-up  Area,21-Jan,Kanakpura Road,prarepa,1100.0,3,2,58.0,3,0
Plot  Area,Ready To Move,Bendiganahalli,brersld,1200.0,3,0,95.0,3,1
Super built-up  Area,18-Jun,Chandapura,suvue s,582.5,1,0,15.14,1,0
Super built-up  Area,18-Sep,Chandapura,suncees,1015.0,2,2,25.88,2,0
Built-up  Area,Ready To Move,Hosur Road,independent,3300.0,5,2,240.0,5,1
Super built-up  Area,Ready To Move,Gunjur,independent,1356.0,2,3,66.0,3,0
Super built-up  Area,Ready To Move,Hennagara,independent,823.0,2,1,28.0,2,0
Plot  Area,Ready To Move,TC Palaya,independent,1200.0,2,0,66.0,3,1
Built-up  Area,Ready To Move,Ramamurthy Nagar,independent,1050.0,2,0,37.0,2,0
Super built-up  Area,Ready To Move,Ferrar Nagar,leton a,1180.0,2,1,69.0,2,0
Super built-up  Area,Ready To Move,Whitefield,sonviik,1116.0,2,3,51.91,2,0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,srncyre,1070.0,2,1,42.79,2,0
Super built-up  Area,17-Mar,Varthur,uptusol,1385.0,2,3,80.0,2,0
Plot  Area,Ready To Move,Varthur,independent,1000.0,1,1,70.0,1,1
Built-up  Area,18-Feb,Whitefield,independent,1897.0,3,2,130.0,3,0
Super built-up  Area,18-Aug,Magadi Road,vrenty ,1005.0,2,1,55.78,2,0
Super built-up  Area,Ready To Move,Green Glen Layout,soinequ,1575.0,3,2,125.0,3,0
Super built-up  Area,Ready To Move,Subramanyapura,mayne a,975.0,2,1,65.0,2,0
Super built-up  Area,Ready To Move,Hennur Road,sairesa,1904.0,3,2,120.0,3,0
Super built-up  Area,Ready To Move,Kengeri Satellite Town,independent,930.0,1,1,30.0,1,0
Super built-up  Area,21-Dec,Kanakpura Road,prarepa,525.0,1,1,26.0,1,0
Super built-up  Area,Ready To Move,BAGUR,independent,686.0,1,1,17.0,1,0
Plot  Area,Ready To Move,Electronic City Phase II,daosts ,2400.0,3,1,150.0,2,1
Plot  Area,Ready To Move,8th block Koramangala,independent,1410.0,1,0,233.0,2,1
Built-up  Area,18-Apr,Sarjapur  Road,independent,2238.0,3,1,140.0,3,1
Super built-up  Area,Ready To Move,Harlur,prncyrn,1174.0,2,1,69.0,2,0
Built-up  Area,Ready To Move,Thubarahalli,independent,3800.0,4,3,239.0,4,1
Super built-up  Area,Ready To Move,Whitefield,uke 2nz,2225.0,2,1,125.0,3,0
Super built-up  Area,Ready To Move,M.G Road,sontsap,1250.0,2,0,200.0,2,0
Super built-up  Area,Ready To Move,Jigani,dlhtsan,918.0,2,2,52.0,2,0
Super built-up  Area,Ready To Move,Mahadevpura,independent,1250.0,2,3,52.0,2,0
Super built-up  Area,Ready To Move,Sarjapur  Road,maantr ,1800.0,3,0,110.0,3,0
Built-up  Area,Ready To Move,Marathahalli,foodasa,1170.0,2,3,53.0,2,0
Super built-up  Area,Ready To Move,Byatarayanapura,independent,1300.0,1,0,200.0,1,0
Built-up  Area,Ready To Move,Bannerghatta Road,independent,793.0,2,1,45.0,2,0
Super built-up  Area,Ready To Move,Jakkur,brdgeno,1710.0,3,2,107.0,3,0
Super built-up  Area,Ready To Move,Kambipura,prrtht ,1082.0,2,1,57.5,3,0
Super built-up  Area,18-Mar,Naganathapura,independent,1001.0,2,2,33.03,2,0
Built-up  Area,Ready To Move,Srinivasa Nagar,independent,1500.0,4,0,180.0,4,1
Super built-up  Area,Ready To Move,Yelahanka,independent,1590.0,2,1,54.0,3,0
Super built-up  Area,Ready To Move,Basavanagara,independent,2400.0,2,0,80.0,3,0
Super built-up  Area,Ready To Move,Horamavu Banaswadi,asorai ,1554.0,3,2,55.0,3,0
Super built-up  Area,18-Dec,Thanisandra,omter a,1142.5,2,0,43.42,2,0
Built-up  Area,Ready To Move,Konanakunte,independent,884.0,1,0,58.0,2,1
Super built-up  Area,19-Mar,Hosa Road,skume r,1045.0,2,1,98.89,2,0
Super built-up  Area,Ready To Move,Marathahalli,independent,1019.0,2,2,49.86,2,0
Super built-up  Area,Ready To Move,Ambedkar Nagar,soechha,1935.0,4,2,130.0,3,0
Super built-up  Area,Ready To Move,Uttarahalli,independent,1135.0,2,2,39.73,3,0
Super built-up  Area,Ready To Move,Lakshminarayana Pura,rothava,1680.0,3,2,150.0,3,0
Super built-up  Area,19-Jun,Hebbal,raard b,2470.0,5,2,247.0,4,0
Super built-up  Area,Ready To Move,1st Phase JP Nagar,prhtsok,2825.0,4,3,250.0,4,0
Super built-up  Area,Ready To Move,Hosakerehalli,taonte ,2480.0,3,1,330.0,3,0
Plot  Area,Ready To Move,Ramamurthy Nagar,independent,1800.0,4,3,187.0,5,1
Built-up  Area,Ready To Move,Kasavanhalli,ocrda m,1799.0,3,3,90.0,3,0
Built-up  Area,Ready To Move,Attibele,jae 2hu,400.0,1,1,11.0,1,0
Built-up  Area,18-Mar,Kundalahalli,dieldli,1047.0,2,1,82.0,2,0
Super built-up  Area,Ready To Move,Kaverappa Layout,kesomrn,1282.0,2,2,87.0,2,0
Super built-up  Area,Ready To Move,NGR Layout,independent,1020.0,2,1,45.9,2,0
Plot  Area,Ready To Move,Kammanahalli,independent,1080.0,3,1,155.0,4,1
Super built-up  Area,Ready To Move,Whitefield,uke 2nz,1495.0,2,1,79.5,2,0
Built-up  Area,Ready To Move,Kasavanhalli,vaidsi ,3260.0,4,1,240.0,4,1
Super built-up  Area,17-Oct,Divya Unnathi Layout,independent,1611.0,2,2,64.44,3,0
Super built-up  Area,Ready To Move,Koramangala,k ncy r,3500.0,5,2,425.0,4,0
Built-up  Area,Ready To Move,Vasantha Vallabha Nagar,independent,1500.0,2,2,95.0,3,1
Super built-up  Area,Ready To Move,Sahakara Nagar,esniaga,1500.0,2,2,95.0,3,0
Plot  Area,Ready To Move,Yelahanka,aaire s,3206.0,5,0,270.0,4,1
Super built-up  Area,Ready To Move,Uttarahalli,laihai ,1540.0,3,0,50.0,3,0
Super built-up  Area,18-May,Hosa Road,pamesy ,1639.0,3,1,80.0,3,0
Plot  Area,Ready To Move,Marathahalli,independent,700.0,4,0,72.0,4,1
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,grrvagr,1303.0,2,2,55.79,2,0
Super built-up  Area,Ready To Move,Koramangala,k ncy r,1005.0,1,1,110.0,2,0
Super built-up  Area,Ready To Move,Kammasandra,puitea ,657.5,1,0,18.41,1,0
Super built-up  Area,18-Oct,Chandapura,suncees,1305.0,3,1,33.28,3,0
Plot  Area,Ready To Move,Kothannur,independent,600.0,4,0,95.0,3,1
Super built-up  Area,Ready To Move,sapthagiri Layout,independent,1300.0,1,1,115.0,2,0
Super built-up  Area,Ready To Move,Brookefield,saowson,1440.0,2,3,68.0,3,0
Super built-up  Area,18-Dec,Seegehalli,independent,901.0,2,1,35.14,2,0
Super built-up  Area,Ready To Move,Rajaji Nagar,brway g,1725.0,3,3,200.0,3,0
Built-up  Area,Ready To Move,Sarjapur,independent,900.0,2,1,42.0,3,0
Super built-up  Area,Ready To Move,BEML Layout,independent,1060.0,2,1,55.0,2,0
Super built-up  Area,Ready To Move,NGR Layout,independent,1020.0,2,1,48.45,2,0
Super built-up  Area,20-Dec,Varthur,myple m,1535.0,3,2,65.99,3,0
Built-up  Area,Ready To Move,Alur,independent,530.0,1,1,20.0,1,0
Super built-up  Area,Ready To Move,Devarabisanahalli,spdoren,1350.0,2,3,80.0,2,0
Super built-up  Area,Ready To Move,Sarjapur  Road,independent,1115.0,2,2,50.0,2,0
Super built-up  Area,Ready To Move,Uttarahalli,independent,1175.0,2,2,47.0,2,0
Built-up  Area,Ready To Move,Whitefield,independent,1113.0,2,1,62.0,2,0
Plot  Area,Ready To Move,Uttarahalli,independent,1200.0,4,2,225.0,6,1
Plot  Area,Ready To Move,Ramamurthy Nagar,independent,1640.0,4,3,240.0,5,1
Built-up  Area,Ready To Move,Giri Nagar,spanda ,650.0,2,0,42.0,2,0
Super built-up  Area,Ready To Move,Marathahalli,independent,1325.0,2,2,71.55,2,0
Built-up  Area,Ready To Move,Electronics City Phase 1,shelash,950.0,2,3,31.0,2,0
Super built-up  Area,18-Apr,Jakkur,independent,1396.0,2,1,86.51,3,0
Super built-up  Area,Ready To Move,Rachenahalli,independent,1050.0,2,2,52.07,2,0
Super built-up  Area,Ready To Move,Thanisandra,independent,1825.0,3,2,100.0,3,0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,vasta c,1190.0,2,1,49.98,2,0
Super built-up  Area,Ready To Move,Marathahalli,independent,1220.0,2,1,56.5,2,0
Super built-up  Area,Ready To Move,NRI Layout,independent,1565.0,2,2,75.0,3,0
Super built-up  Area,Ready To Move,Hennur Road,sairesa,1891.0,3,1,109.0,3,0
Built-up  Area,Ready To Move,Sidedahalli,independent,900.0,2,0,27.0,2,0
Super built-up  Area,18-Jul,Hosa Road,mahesr ,1161.0,2,1,55.15,2,0
Super built-up  Area,Ready To Move,Sarjapur,dsousyl,649.5,1,0,17.54,1,0
Plot  Area,Ready To Move,Rajaji Nagar,independent,315.0,4,2,90.0,4,1
Super built-up  Area,Ready To Move,Yeshwanthpur,ibityin,665.0,1,1,36.85,1,0
Super built-up  Area,19-Jan,Mysore Road,independent,1175.0,2,1,73.5,2,0
Built-up  Area,Ready To Move,Hoodi,goeur g,1425.0,2,2,80.0,2,0
Plot  Area,Ready To Move,Chikkabanavar,independent,1200.0,1,0,20.0,1,1
Plot  Area,18-Aug,ITPL,independent,1200.0,3,1,56.12,3,1
Built-up  Area,Ready To Move,Somasundara Palya,abeesmi,1255.0,2,2,67.0,2,0
Super built-up  Area,Ready To Move,Hegde Nagar,soisoca,2112.95,4,2,145.0,3,0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,independent,600.0,1,1,22.0,1,0
Super built-up  Area,18-Jul,Haralur Road,snnia e,1810.0,3,2,100.0,3,0
Super built-up  Area,Ready To Move,Indira Nagar,independent,1200.0,2,2,93.0,2,0
Super built-up  Area,Ready To Move,Harlur,independent,1033.0,2,2,49.0,2,0
Super built-up  Area,Ready To Move,ITPL,independent,1548.0,3,2,89.5,3,0
Super built-up  Area,18-May,Horamavu Banaswadi,independent,1611.0,3,3,66.0,3,0
Built-up  Area,18-Jul,Electronic City Phase II,sryalan,1400.0,2,1,40.43,3,0
Super built-up  Area,Ready To Move,Vidyaranyapura,graceik,1485.0,2,2,67.0,3,0
Built-up  Area,Ready To Move,Margondanahalli,independent,2400.0,2,1,82.0,2,1
Super built-up  Area,Ready To Move,Pattandur Agrahara,shvarji,1025.0,2,1,44.5,2,0
Plot  Area,Ready To Move,Thurahalli,independent,600.0,3,2,65.0,4,1
Super built-up  Area,Ready To Move,Hallehalli,independent,1225.0,2,0,53.0,2,0
Built-up  Area,Ready To Move,5th Phase JP Nagar,independent,1256.0,2,1,62.8,2,0
Super built-up  Area,Ready To Move,Whitefield,arsiaex,2268.0,3,2,163.0,4,0
Super built-up  Area,21-Dec,Kanakpura Road,prarepa,1100.0,3,2,53.0,3,0
Super built-up  Area,Ready To Move,Vadarpalya,vmianri,1141.0,2,0,62.0,2,0
Built-up  Area,Ready To Move,Attibele,jae 1hu,400.0,1,1,12.0,1,0
Plot  Area,Ready To Move,Chandapura,independent,1400.0,2,0,60.0,2,1
Carpet  Area,Ready To Move,Weavers Colony,independent,15.0,1,0,30.0,1,0
Super built-up  Area,Ready To Move,Raghavendra Nagar,independent,1175.0,2,2,48.27,2,0
Super built-up  Area,Ready To Move,Sahakara Nagar,independent,1100.0,2,1,56.0,2,0
Super built-up  Area,Ready To Move,Kanakpura Road,puestol,1843.0,3,2,95.84,3,0
Super built-up  Area,19-Dec,Horamavu Banaswadi,independent,1460.0,2,1,80.5,2,0
Super built-up  Area,Ready To Move,Rachenahalli,sovar s,1530.0,2,2,74.5,3,0
Built-up  Area,Ready To Move,HSR Layout,independent,1467.0,2,1,55.0,2,0
Super built-up  Area,Ready To Move,KR Layout,independent,950.0,1,1,40.0,1,0
Super built-up  Area,Ready To Move,Vittasandra,prlla c,1246.0,2,1,64.5,2,0
Super built-up  Area,19-Dec,Kanakapura,goityet,711.0,1,1,38.0,1,0
Super built-up  Area,Ready To Move,Haralur Road,rinceeg,1194.0,2,2,46.0,2,0
Super built-up  Area,Ready To Move,Babusapalaya,arngsd ,1358.0,2,1,43.4,3,0
Carpet  Area,Ready To Move,Nagasandra,independent,1500.0,5,1,130.0,6,1
Super built-up  Area,Ready To Move,Hoodi,goeur g,1420.0,2,2,75.0,2,0
Super built-up  Area,Ready To Move,Kathriguppe,independent,1250.0,2,1,68.75,3,0
Built-up  Area,Ready To Move,Akshaya Nagar,independent,1280.0,2,0,58.0,2,0
Super built-up  Area,Ready To Move,Nagappa Reddy Layout,gruesaf,1209.0,2,1,50.0,2,0
Plot  Area,Ready To Move,BTM 1st Stage,independent,1215.0,4,3,205.0,4,1
Super built-up  Area,Ready To Move,Panathur,saite g,1315.0,2,1,54.8,3,0
Super built-up  Area,Ready To Move,Kariyammana Agrahara,independent,1800.0,3,3,90.0,3,0
Built-up  Area,Ready To Move,Hessarghatta,independent,1600.0,4,0,125.0,5,1
Super built-up  Area,Ready To Move,TC Palaya,rkncyha,1600.0,2,2,65.0,3,0
Super built-up  Area,Ready To Move,Suraksha Nagar,aritafe,1563.0,3,2,52.0,3,0
Super built-up  Area,Ready To Move,Whitefield,sridepr,1560.0,2,2,72.0,3,0
Super built-up  Area,Ready To Move,Brookefield,krrbsil,2169.0,4,0,115.0,3,0
Super built-up  Area,Ready To Move,Rachenahalli,independent,1050.0,2,2,55.5,2,0
Super built-up  Area,Ready To Move,Iblur Village,emine p,3235.0,3,1,235.0,3,0
Plot  Area,Ready To Move,TC Palaya,independent,1200.0,3,0,66.0,3,1
Super built-up  Area,Ready To Move,HSR Layout,nrosete,1140.0,2,2,46.0,2,0
Plot  Area,Ready To Move,7th Phase JP Nagar,independent,1500.0,3,1,170.0,3,1
Super built-up  Area,Ready To Move,Horamavu Agara,independent,1560.0,3,2,75.0,3,0
Super built-up  Area,Ready To Move,JP Nagar,saowsri,1100.0,2,2,70.0,2,0
Super built-up  Area,Ready To Move,Kasavanhalli,independent,1260.0,2,3,40.32,3,0
Super built-up  Area,18-Mar,Hebbal,arcia s,1036.0,2,1,50.0,2,0
Built-up  Area,Ready To Move,Akshaya Nagar,dlhtsnd,1662.0,3,3,85.1,3,0
Super built-up  Area,Ready To Move,Yelachenahalli,puontbe,1464.0,2,3,105.0,3,0
Super built-up  Area,Ready To Move,Yelahanka,ncowsar,1234.0,2,2,80.0,2,0
Super built-up  Area,Ready To Move,Sarjapur  Road,arldsyo,1403.0,3,1,55.0,3,0
Plot  Area,Ready To Move,Kadugondanahalli,independent,915.0,4,1,54.9,4,1
Super built-up  Area,Ready To Move,Seegehalli,independent,1150.0,2,2,42.9,3,0
Built-up  Area,Ready To Move,Hebbal,rmudeat,3900.0,4,2,410.0,4,0
Built-up  Area,Ready To Move,Yeshwanthpur,independent,850.0,4,2,90.0,5,1
Super built-up  Area,18-Mar,Kanakapura,independent,929.0,2,1,46.0,2,0
Plot  Area,Ready To Move,TC Palaya,independent,1350.0,2,1,75.0,3,1
Super built-up  Area,Ready To Move,Vasanthapura,independent,1135.0,2,1,39.73,2,0
Built-up  Area,Ready To Move,Basava Nagar,saarea ,1405.0,2,2,70.0,2,0
Plot  Area,18-Sep,Whitefield,independent,1200.0,2,1,45.84,2,1
Super built-up  Area,18-Apr,Haralur Road,snnia e,2805.0,4,3,154.0,4,0
Super built-up  Area,Ready To Move,Yeshwanthpur,ibityin,1161.0,2,2,64.08,2,0
Super built-up  Area,18-Dec,Kanakpura Road,soena a,1290.0,2,3,74.0,2,0
Super built-up  Area,Ready To Move,Yeshwanthpur,ibityin,2557.0,3,2,141.0,3,0
Built-up  Area,Ready To Move,2nd Block Hrbr Layout,raaden ,1480.0,3,2,90.0,3,0
Super built-up  Area,20-Dec,Old Madras Road,sheldgr,1350.0,3,0,54.54,3,0
Super built-up  Area,Ready To Move,Kadugodi,msingco,1580.0,2,2,65.0,3,0
Super built-up  Area,17-Oct,Banashankari,independent,1470.0,2,1,88.64,3,0
Super built-up  Area,18-Jun,Ananth Nagar,independent,500.0,1,1,14.0,1,0
Super built-up  Area,18-Sep,Sarjapur  Road,pualesk,1346.0,2,1,61.92,2,0
Super built-up  Area,Ready To Move,Canara Bank Layout,independent,1600.0,3,3,90.0,3,0
Super built-up  Area,Ready To Move,Naganathapura,independent,720.0,2,1,120.0,2,0
Plot  Area,Ready To Move,Manjunath Nagar,independent,1200.0,4,0,135.0,4,1
Super built-up  Area,Ready To Move,Basapura,rmncy r,1200.0,2,2,35.0,2,0
Built-up  Area,Ready To Move,Channasandra,pritehi,1340.0,2,2,48.33,3,0
Super built-up  Area,Ready To Move,Jigani,dlhtsan,918.0,2,2,48.0,2,0
Plot  Area,Ready To Move,Singena Agrahara,coiewsy,1500.0,3,2,115.0,3,1
Super built-up  Area,Ready To Move,Yelahanka,velas v,1315.0,2,2,85.0,2,0
Super built-up  Area,Ready To Move,Uttarahalli,independent,1390.0,2,2,62.55,3,0
Super built-up  Area,Ready To Move,Uttarahalli,aklia r,1330.0,2,1,56.0,3,0
Built-up  Area,Ready To Move,Jalahalli,brardco,3100.0,4,0,265.0,5,0
Super built-up  Area,17-Dec,Mango Garden Layout,ceral c,1824.0,3,3,125.0,3,0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,brnia g,1420.0,2,2,96.0,3,0
Plot  Area,Ready To Move,Kacharakanahalli,independent,750.0,1,0,56.25,1,1
Super built-up  Area,Ready To Move,Jalahalli East,shshasa,1260.0,2,1,60.0,3,0
Super built-up  Area,19-Sep,Hennur Road,orens g,1561.0,3,2,95.0,3,0
Super built-up  Area,Ready To Move,"Bidere Agarahara, Behind Safal market",independent,1060.0,2,2,42.0,2,0
Super built-up  Area,18-Jul,Haralur Road,snnia e,1225.0,2,1,67.38,2,0
Super built-up  Area,Ready To Move,Thanisandra,soitya ,2144.0,3,2,135.0,3,0
Super built-up  Area,Ready To Move,Electronic City,itelaa ,880.0,2,2,29.0,2,0
Super built-up  Area,21-Dec,Hoodi,goairej,1639.0,3,2,110.0,3,0
Built-up  Area,Ready To Move,Thanisandra,pronyt ,1240.0,2,1,62.0,3,0
